Class name,Rounds Won,Score,Correct Sorts,Attempted Sorts,Correct Objectives,Attempted Objectives
AlexAndErik,4,1.0,1000,1000,1000,1000
MimiJessiSort,2,1.0,782,782,717,782
SamJenny,0,1.0,125,125,125,125
SidBen,0,1.0,405,405,403,405
